sweep,arm,budget,hop_type,n,em,f1,faithfulness,answer_relevance,mean_gen_input_tokens,mean_total_tokens,mean_cost_usd,mean_latency_s,em_ci_lo,em_ci_hi,f1_ci_lo,f1_ci_hi,apt_generator_per_1k,apt_total_per_1k
structured,compress_llmlingua,1000,all,600,0.0783,0.105,0.3993,0.5583,1078.8,12809.9,0.000263,5.016,0.0583,0.1,0.0826,0.1281,0.0726,0.0061
structured,compress_llmlingua,1000,single,600,0.0783,0.105,0.3993,0.5583,1078.8,12809.9,0.000263,5.016,0.0567,0.1,0.0826,0.1285,,
structured,compress_llmlingua,2000,all,600,0.09,0.1169,0.34,0.4225,2078.8,13809.9,0.000487,5.507,0.0683,0.1133,0.0932,0.1413,0.0433,0.0065
structured,compress_llmlingua,2000,single,600,0.09,0.1169,0.34,0.4225,2078.8,13809.9,0.000487,5.507,0.0683,0.1133,0.0933,0.1414,,
structured,compress_llmlingua,4000,all,600,0.1167,0.1469,0.378,0.4217,4078.5,15809.6,0.000944,6.611,0.0917,0.1433,0.1204,0.174,0.0286,0.0074
structured,compress_llmlingua,4000,single,600,0.1167,0.1469,0.378,0.4217,4078.5,15809.6,0.000944,6.611,0.0917,0.1433,0.1201,0.1746,,
structured,graph_select,500,all,600,0.0667,0.0943,0.5487,0.6017,559.2,559.2,0.00016,0.599,0.0467,0.0883,0.0733,0.1169,0.1193,0.1193
structured,graph_select,500,single,600,0.0667,0.0943,0.5487,0.6017,559.2,559.2,0.00016,0.599,0.0483,0.0867,0.0739,0.1159,,
structured,graph_select,1000,all,600,0.0833,0.1076,0.5167,0.5742,1055.6,1055.6,0.000276,0.509,0.0617,0.1067,0.0857,0.1304,0.0789,0.0789
structured,graph_select,1000,single,600,0.0833,0.1076,0.5167,0.5742,1055.6,1055.6,0.000276,0.509,0.0617,0.1067,0.0853,0.1314,,
structured,graph_select,2000,all,600,0.0883,0.1138,0.4278,0.4583,2045.0,2045.0,0.000509,0.558,0.0667,0.1117,0.091,0.1383,0.0432,0.0432
structured,graph_select,2000,single,600,0.0883,0.1138,0.4278,0.4583,2045.0,2045.0,0.000509,0.558,0.0667,0.1117,0.0906,0.1376,,
structured,graph_select,4000,all,600,0.1033,0.1275,0.3855,0.3817,4021.3,4021.3,0.00094,0.493,0.08,0.1283,0.1028,0.1534,0.0257,0.0257
structured,graph_select,4000,single,600,0.1033,0.1275,0.3855,0.3817,4021.3,4021.3,0.00094,0.493,0.08,0.1283,0.1031,0.153,,
structured,naive_topk,500,all,600,0.1717,0.2063,0.5722,0.6195,562.2,562.2,0.000156,0.466,0.1417,0.2017,0.1758,0.237,0.3054,0.3054
structured,naive_topk,500,single,600,0.1717,0.2063,0.5722,0.6195,562.2,562.2,0.000156,0.466,0.1417,0.2033,0.1764,0.2385,,
structured,naive_topk,1000,all,600,0.1733,0.2163,0.5475,0.6047,1060.0,1060.0,0.000273,0.461,0.1433,0.205,0.1849,0.2483,0.1635,0.1635
structured,naive_topk,1000,single,600,0.1733,0.2163,0.5475,0.6047,1060.0,1060.0,0.000273,0.461,0.1433,0.2033,0.1858,0.2475,,
structured,naive_topk,2000,all,600,0.175,0.2143,0.4997,0.5217,2057.0,2057.0,0.000507,0.403,0.145,0.2067,0.1834,0.2463,0.0851,0.0851
structured,naive_topk,2000,single,600,0.175,0.2143,0.4997,0.5217,2057.0,2057.0,0.000507,0.403,0.145,0.205,0.184,0.2458,,
structured,naive_topk,4000,all,600,0.1733,0.2132,0.4622,0.4817,4046.7,4046.7,0.000929,0.457,0.1433,0.2033,0.1824,0.2449,0.0428,0.0428
structured,naive_topk,4000,single,600,0.1733,0.2132,0.4622,0.4817,4046.7,4046.7,0.000929,0.457,0.1433,0.2033,0.1827,0.2442,,
structured,naive_topk_dedup,500,all,600,0.1717,0.2063,0.5705,0.6178,562.1,562.1,0.000156,0.467,0.1417,0.2017,0.176,0.2375,0.3055,0.3055
structured,naive_topk_dedup,500,single,600,0.1717,0.2063,0.5705,0.6178,562.1,562.1,0.000156,0.467,0.1417,0.2017,0.1763,0.2371,,
structured,naive_topk_dedup,1000,all,600,0.1733,0.2163,0.5475,0.6038,1059.9,1059.9,0.000273,0.466,0.1433,0.2033,0.1859,0.2475,0.1635,0.1635
structured,naive_topk_dedup,1000,single,600,0.1733,0.2163,0.5475,0.6038,1059.9,1059.9,0.000273,0.466,0.1433,0.205,0.1862,0.2481,,
structured,naive_topk_dedup,2000,all,600,0.175,0.2143,0.4963,0.5183,2057.1,2057.1,0.000507,0.407,0.145,0.205,0.1844,0.2449,0.0851,0.0851
structured,naive_topk_dedup,2000,single,600,0.175,0.2143,0.4963,0.5183,2057.1,2057.1,0.000507,0.407,0.145,0.2067,0.1838,0.2461,,
structured,naive_topk_dedup,4000,all,600,0.1733,0.2132,0.4655,0.4833,4046.7,4046.7,0.000928,0.457,0.1433,0.2033,0.1824,0.2441,0.0428,0.0428
structured,naive_topk_dedup,4000,single,600,0.1733,0.2132,0.4655,0.4833,4046.7,4046.7,0.000928,0.457,0.1433,0.2033,0.1825,0.2446,,
structured,rerank_topk,500,all,600,0.2033,0.2538,0.6235,0.6925,562.3,12306.8,0.002155,0.612,0.1717,0.2367,0.2213,0.2876,0.3616,0.0165
structured,rerank_topk,500,single,600,0.2033,0.2538,0.6235,0.6925,562.3,12306.8,0.002155,0.612,0.17,0.2367,0.2214,0.2865,,
structured,rerank_topk,1000,all,600,0.1983,0.2393,0.6065,0.6675,1059.8,12804.3,0.000271,0.433,0.1667,0.23,0.2076,0.2717,0.1871,0.0155
structured,rerank_topk,1000,single,600,0.1983,0.2393,0.6065,0.6675,1059.8,12804.3,0.000271,0.433,0.1667,0.2317,0.207,0.2728,,
structured,rerank_topk,2000,all,600,0.1967,0.2368,0.5838,0.64,2056.3,13800.8,0.000503,0.437,0.165,0.2283,0.2055,0.2692,0.0957,0.0143
structured,rerank_topk,2000,single,600,0.1967,0.2368,0.5838,0.64,2056.3,13800.8,0.000503,0.437,0.165,0.23,0.205,0.2699,,
structured,rerank_topk,4000,all,600,0.2017,0.2475,0.5492,0.5763,4046.7,15791.3,0.000917,0.453,0.17,0.235,0.2152,0.281,0.0498,0.0128
structured,rerank_topk,4000,single,600,0.2017,0.2475,0.5492,0.5763,4046.7,15791.3,0.000917,0.453,0.17,0.235,0.2156,0.2807,,
structured,summarize_recomp,500,all,600,0.0717,0.094,0.804,0.8447,294.1,13268.0,0.00026,3.326,0.0517,0.0933,0.0729,0.1162,0.2438,0.0054
structured,summarize_recomp,500,single,600,0.0717,0.094,0.804,0.8447,294.1,13268.0,0.00026,3.326,0.0517,0.0933,0.0734,0.1164,,
structured,summarize_recomp,1000,all,600,0.1217,0.1479,0.8626,0.91,488.7,14620.2,0.00046,5.327,0.0967,0.1483,0.1213,0.1758,0.249,0.0083
structured,summarize_recomp,1000,single,600,0.1217,0.1479,0.8626,0.91,488.7,14620.2,0.00046,5.327,0.0967,0.1483,0.1215,0.1749,,
structured,summarize_recomp,2000,all,600,0.15,0.1849,0.8763,0.9085,772.2,17136.2,0.000805,10.31,0.1217,0.18,0.1556,0.2145,0.1943,0.0088
structured,summarize_recomp,2000,single,600,0.15,0.1849,0.8763,0.9085,772.2,17136.2,0.000805,10.31,0.1217,0.1783,0.156,0.2148,,
structured,summarize_recomp,4000,all,600,0.1917,0.2373,0.8923,0.9117,1355.9,22226.3,0.001507,17.238,0.1617,0.225,0.2055,0.2712,0.1414,0.0086
structured,summarize_recomp,4000,single,600,0.1917,0.2373,0.8923,0.9117,1355.9,22226.3,0.001507,17.238,0.16,0.2233,0.2056,0.2705,,
baseline,full_context,-1,all,600,0.5067,0.6542,0.8982,0.9098,11524.0,11524.0,0.002816,0.585,0.4667,0.5467,0.6222,0.6859,0.044,0.044
baseline,full_context,-1,multi,300,0.7133,0.7903,0.8723,0.8927,11808.9,11808.9,0.00289,0.547,0.6633,0.7633,0.7474,0.8313,,
baseline,full_context,-1,single,300,0.3,0.5181,0.924,0.927,11239.1,11239.1,0.002742,0.623,0.25,0.3533,0.476,0.5604,,
baseline,gold_context,-1,all,600,0.565,0.7206,0.9308,0.9672,432.4,432.4,0.000129,0.354,0.525,0.605,0.6906,0.7502,1.3067,1.3067
baseline,gold_context,-1,multi,300,0.7333,0.8257,0.8927,0.954,257.0,257.0,8.4e-05,0.335,0.6833,0.7833,0.7859,0.8625,,
baseline,gold_context,-1,single,300,0.3967,0.6156,0.969,0.9803,607.9,607.9,0.000174,0.373,0.3433,0.45,0.5744,0.6567,,
baseline,no_context,0,all,600,0.3,0.3994,0.0,0.4922,65.2,65.2,4.4e-05,0.24,0.2633,0.3367,0.3647,0.4343,4.6012,4.6012
baseline,no_context,0,multi,300,0.4633,0.5177,0.0,0.355,78.7,78.7,4.6e-05,0.234,0.4067,0.52,0.4641,0.571,,
baseline,no_context,0,single,300,0.1367,0.2812,0.0,0.6293,51.8,51.8,4.2e-05,0.245,0.1,0.1767,0.2433,0.3199,,
baseline,random_chunks,1000,all,600,0.2333,0.3356,0.0533,0.2317,1020.6,1020.6,0.000271,0.372,0.2,0.2667,0.3023,0.3682,0.2286,0.2286
baseline,random_chunks,1000,multi,300,0.38,0.4343,0.0533,0.24,1034.6,1034.6,0.000273,0.345,0.3267,0.4367,0.3806,0.4874,,
baseline,random_chunks,1000,single,300,0.0867,0.2369,0.0533,0.2233,1006.5,1006.5,0.000269,0.399,0.0567,0.12,0.2043,0.2708,,
